Disease,Symptoms
embolism   pulmonary,"tonic seizures, distress respiratory, non-productive cough, food intolerance, overweight"
hepatitis   B,"alcohol binge episode, projectile vomiting, wheelchair bound, mass of body structure, scar tissue"
degenerative   polyarthritis,"stiffness, proteinemia, gasping for breath, pulse absent, unsteady gait, cachexia, hypotonic"
diverticulitis,"chest tightness, thicken, primigravida, poor feeding, heartburn"
osteomyelitis,"erythema, pain foot, urinary hesitation, abscess bacterial, unhappy, dysuria"
hyperlipidemia,"tenesmus, stool color yellow, paralyse, rale, hemiplegia, giddy mood"
ischemia,"flatulence, sweating increased, arthralgia, gravida 10, bradycardia, heartburn"
insufficiency   renal,"dysesthesia, seizure, systolic murmur, hypokinesia, abdominal tenderness, hypotension, symptom aggravating factors"
diverticulosis,"pain foot, apyrexial, anorexia, monoclonal, spasm, feeling hopeless, cystic lesion, syncope, nausea"
neoplasm,"headache, pain abdominal, clonus, sniffle, decreased body weight, scar tissue, poor feeding"
cholecystitis,"feces in rectum, groggy, constipation, verbally abusive behavior, spasm, apyrexial, abnormally hard consistency"
chronic   kidney failure,"fever, unresponsiveness, urinary hesitation, redness, consciousness clear, nausea"
malignant   neoplasms,"distress respiratory, food intolerance, dullness, feels hot/feverish, pain abdominal"
diverticulosis,"behavior showing increased motor activity, painful swallowing, cystic lesion, feeling hopeless, stool color yellow"
encephalopathy,"nasal flaring, alcoholic withdrawal symptoms, debilitation, dysdiadochokinesia, thicken, dyspareunia"
transient   ischemic attack,"flatulence, clumsiness, red blotches, headache, numbness of hand, syncope, history of - blackout, unwell"
edema   pulmonary,"overweight, guaiac positive, hypertonicity, feces in rectum, ecchymosis, wheezing, sinus rhythm, haemorrhage"
sickle   cell anemia,"green sputum, hypersomnia, dysuria, heartburn, apyrexial, noisy respiration, headache, hepatosplenomegaly"
carcinoma breast,"urinary hesitation, formication, sleepy, tonic seizures, pain neck, swelling, colic abdominal, burning sensation"
carcinoma colon,"air fluid level, hyperemesis, suicidal, systolic ejection murmur, natural"
lymphoma,"abdominal tenderness, numbness, homelessness, superimposition, dysarthria, difficulty passing urine, elation, tired"
hypertension   pulmonary,"gravida 0, sleepy, cyanosis, alcoholic withdrawal symptoms, verbal auditory hallucinations, sweating increased, neck stiffness, left atrial hypertrophy, monoclonal"
endocarditis,"metastatic lesion, proteinemia, Murphy's sign, shortness of breath, apyrexial, general discomfort, decreased stool caliber, orthopnea"
psychotic   disorder,"behavior hyperactive, Heberden's node, energy increased, unable to concentrate, hematocrit decreased, chill, stiffness, sinus rhythm, nightmare"
obesity   morbid,"nonsmoker, hypoxemia, mass in breast, renal angle tenderness, feels hot/feverish, colic abdominal"
hypertension   pulmonary,"tired, left atrial hypertrophy, large-for-dates fetus, hemiplegia, hypesthesia, constipation, hypotension, pin-point pupils, neck stiffness"
cellulitis,"pain chest, dysdiadochokinesia, pruritus, sore to touch, decreased stool caliber, scratch marks"
biliary   calculus,"apyrexial, catching breath, angina pectoris, agitation, palpitation"
degenerative   polyarthritis,"inappropriate affect, polydypsia, asymptomatic, stiffness, non-productive cough"
neutropenia,"monoclonal, distress respiratory, blackout, natural, flare, hypocalcemia result, stuffy nose"
carcinoma of lung,"asthenia, emphysematous change, pallor, decreased translucency, anosmia, agitation, fatigability"
delirium,"suicidal, diarrhea, ambidexterity, hallucinations auditory, pallor, welt, rest pain"
gastroesophageal   reflux disease,"pain abdominal, stupor, decompensation, abdominal bloating, palpitation, feeling hopeless"
neutropenia,"distress respiratory, hypocalcemia result, flatulence, posterior rhinorrhea, awakening early, welt, oliguria, monoclonal"
transient   ischemic attack,"difficulty, headache, macerated skin, enuresis, lip smacking, flushing, syncope, para 2, vomiting"
osteomyelitis,"erythema, fever, pneumatouria, stuffy nose, abscess bacterial, pain foot, urinary hesitation, verbal auditory hallucinations"
malignant   neoplasms,"food intolerance, incoherent, mass in breast, egophony, fear of falling, distress respiratory, lip smacking, pain abdominal, intermenstrual heavy bleeding"
hyperlipidemia,"aphagia, pain in lower limb, hydropneumothorax, giddy mood, hemiplegia, dizziness"
kidney   failure acute,"ascites, no status change, natural, unresponsiveness, scar tissue, haemorrhage"
hernia   hiatal,"constipation, cyanosis, hypersomnolence, guaiac positive, numbness of hand, photophobia, headache"
diverticulosis,"underweight, nausea, feeling hopeless, dyspnea, anorexia"
infection,"labored breathing, symptom aggravating factors, nonsmoker, abortion, posturing, apyrexial, pain, swelling, wheezing"
tricuspid   valve insufficiency,"pain, impaired cognition, cicatrisation, agitation, hyponatremia, breech presentation"
paroxysmal   dyspnea,"weight gain, st segment depression, cough, paresis, blackout, dyspnea, rale, qt interval prolonged, sweating increased, hyponatremia"
tonic-clonic seizures,"tumor cell invasion, ambidexterity, sneeze, spasm, r wave feature, headache"
neoplasm   metastasis,"asthenia, food intolerance, sciatica, fear of falling, pain, mass of body structure"
deglutition   disorder,"bruit, pain back, lesion, retropulsion, side pain, stiffness, neck stiffness"
gastritis,"sore to touch, fear of falling, general unsteadiness, decreased body weight, pain"
tonic-clonic seizures,"tumor cell invasion, Murphy's sign, macerated skin, rolling of eyes, spasm, floppy, ambidexterity"
exanthema,"neologism, milky, hypokinesia, painful swallowing, pain, photophobia, superimposition, chill, nasal flaring"
endocarditis,"excruciating pain, orthopnea, cachexia, metastatic lesion, apyrexial, rhd positive, decreased body weight, pain back"
anxiety   state,"polyuria, hallucinations auditory, colic abdominal, catching breath, pain, hoard"
infection,"pain, tremor resting, polymyalgia, pain abdominal, cough, apyrexial, heartburn"
influenza,"dysdiadochokinesia, extreme exhaustion, excruciating pain, sneeze, distress respiratory, rolling of eyes, throbbing sensation quality, urgency of micturition"
pancreatitis,"nonsmoker, panic, rigor - temperature-associated observation, sore to touch, anorexia, apyrexial, moody, difficulty"
accident   cerebrovascular,"asthenia, cyanosis, dysarthria, numbness, feces in rectum, seizure"
arthritis,"retch, general unsteadiness, shortness of breath, pain, guaiac positive"
ischemia,"hallucinations auditory, asymptomatic, pleuritic pain, urgency of micturition, bradycardia, pain neck"
exanthema,"night sweat, chill, cystic lesion, abdominal tenderness, poor dentition, panic, pain, photophobia, gasping for breath"
lymphatic   diseases,"guaiac positive, hallucinations visual, satiety early, decompensation, fremitus, egophony, non-productive cough"
respiratory   failure,"consciousness clear, shortness of breath, symptom aggravating factors, bruit, cushingoid habitus, redness"
hemorrhoids,"dizziness, abortion, bowel sounds decreased, numbness of hand, poor feeding, guaiac positive"
exanthema,"pain, formication, urgency of micturition, sleeplessness, chill, vertigo, photophobia"
melanoma,"decreased stool caliber, systolic murmur, diarrhea, vomiting, hypertonicity, polydypsia, choke, hypoxemia, pain"
hemorrhoids,"stinging sensation, rolling of eyes, natural, numbness of hand, dizziness, guaiac positive"
arthritis,"sleepy, general unsteadiness, emphysematous change, pain, cardiomegaly, shortness of breath"
carcinoma of lung,"irritable mood, asthenia, soft tissue swelling, hypokinesia, agitation"
anemia,"numbness, feeling suicidal, swelling, transaminitis, guaiac positive, shortness of breath, polydypsia, Stahli's line"
sickle   cell anemia,"bowel sounds decreased, headache, green sputum, consciousness clear, hepatosplenomegaly, breech presentation, apyrexial"
obesity,"low back pain, bedridden, hallucinations auditory, ecchymosis, systolic murmur, lesion, overweight, behavior showing increased motor activity, dyspnea"
pneumonia,"pulsus paradoxus, non-productive cough, feeling hopeless, bradycardia, motor retardation, throat sore, malaise"
adhesion,"hallucinations visual, feeling suicidal, photopsia, immobile, spontaneous rupture of membranes"
diverticulitis,"fever, thicken, urgency of micturition, throbbing sensation quality, blanch, urinary hesitation, monoclonal"
gastroenteritis,"hyponatremia, pansystolic murmur, mass of body structure, decreased body weight, monocytosis, heavy legs, retch"
hyperlipidemia,"hypokinesia, hemiplegia, mydriasis, pleuritic pain, giddy mood, proteinemia, feeling suicidal, superimposition"
infection,"apyrexial, myoclonus, chest discomfort, cough, hypometabolism"
carcinoma,"choke, diarrhea, gasping for breath, nausea, lung nodule"
osteomyelitis,"erythema, hot flush, abscess bacterial, paresthesia, fatigability"
oral   candidiasis,"transaminitis, paralyse, hypokinesia, pulsus paradoxus, non-productive cough"
embolism   pulmonary,"splenomegaly, titubation, non-productive cough, unresponsiveness, wheezing"
malignant   neoplasms,"symptom aggravating factors, distress respiratory, pain abdominal, throat sore, food intolerance"
hyperglycemia,"estrogen use, cyanosis, proteinemia, wheezing, seizure"
kidney   disease,"hyperkalemia, hunger, bleeding of vagina, gravida 0, chest tightness"
benign   prostatic hypertrophy,"dysarthria, tremor resting, rest pain, flatulence, unwell, distress respiratory, diarrhea, mental status changes, pulse absent, anorexia"
neoplasm,"prostate tender, metastatic lesion, headache, decreased body weight, jugular venous distention, behavior showing increased motor activity, abnormal sensation, satiety early"
thrombocytopaenia,"blanch, hematocrit decreased, orthostasis, malaise, fatigue, hypotension, titubation, worry, pruritus"
ulcer   peptic,"apyrexial, swelling, nervousness, indifferent mood, hunger, abdominal bloating"
hepatitis   C,"frail, milky, hoard, throat sore, hallucinations auditory"
pyelonephritis,"hematuria, titubation, fever, Stahli's line, elation, myalgia"
migraine   disorders,"pleuritic pain, heavy legs, dizziness, wheelchair bound, splenomegaly"
edema   pulmonary,"pain chest, sinus rhythm, chest discomfort, hypercapnia, motor retardation"
pneumonia,"wheezing, macerated skin, non-productive cough, night sweat, sore to touch, malaise, hypoalbuminemia, mediastinal shift, underweight"
overload   fluid,"hypometabolism, hypotension, distended abdomen, rhonchus, sinus rhythm, swelling"
mitral   valve insufficiency,"pain, monocytosis, spasm, intoxication, abscess bacterial, qt interval prolonged, diarrhea, fatigue"
chronic   kidney failure,"no known drug allergies, nausea, has religious belief, pleuritic pain, gag, unresponsiveness"
lymphoma,"lightheadedness, weight gain, tired, difficulty passing urine, noisy respiration, superimposition"
obesity   morbid,"motor retardation, feels hot/feverish, renal angle tenderness, hematocrit decreased, pansystolic murmur, dyspnea on exertion, hyponatremia, shortness of breath"
paranoia,"neologism, groggy, blackout, posterior rhinorrhea, mood depressed, slowing of urinary stream, loose associations, ecchymosis, sleepy"
carcinoma of lung,"irritable mood, nightmare, agitation, asthenia, spontaneous rupture of membranes, speech slurred, decreased translucency"
manic   disorder,"moody, feeling suicidal, clonus, agitation, decompensation, difficulty, hypometabolism"
osteoporosis,"out of breath, apyrexial, retch, syncope, ascites"
delusion,"blackout, irritable mood, terrify, agitation, slowing of urinary stream, hot flush"
hypertensive   disease,"palpitation, unable to concentrate, nausea, anorexia, erythema, pressure chest"
sepsis (invertebrate),"haemorrhage, bleeding of vagina, apyrexial, rale, unresponsiveness"
kidney   disease,"sniffle, bleeding of vagina, hyperkalemia, presence of q wave, hemianopsia homonymous, gravida 0, fever, orthopnea"
decubitus   ulcer,"frail, pain in lower limb, systolic murmur, mental status changes, headache, overweight, fever"
cholecystitis,"nonsmoker, tired, groggy, feces in rectum, pain chest, transsexual, abnormally hard consistency, photophobia, constipation, general discomfort"
insufficiency   renal,"hypokinesia, weepiness, abnormally hard consistency, hypotension, pain, red blotches, breath sounds decreased"
infection   urinary tract,"mental status changes, pressure chest, distress respiratory, sedentary, consciousness clear, difficulty passing urine"
hyperglycemia,"macerated skin, wheezing, cushingoid habitus, estrogen use, pressure chest, titubation, ascites, seizure"
psychotic   disorder,"terrify, energy increased, decompensation, haemoptysis, behavior hyperactive, nightmare, soft tissue swelling"
